   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.42449,             0.30203,             0.25693,            0.088659,             0.10135,            0.010926,          0.00064406,             0.01187,                0.01,              0.9533,             0.00055,              3.4351,             0.68242,             0.09337,             0.05735,             0.79998,             0.93089,              1.3295,             0.74876,                 0.2,              4.0446,                   0,             0.01078,             0.57632,             0.41141,                   0,             0.08156,             0.36362,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.5635
             0.43338,             0.24842,             0.24049,            0.092141,            0.070008,            0.013627,          0.00051595,             0.01463,                0.01,             0.91071,             0.00066,              3.7301,             0.71058,             0.09516,             0.04034,              1.1465,             0.90999,              1.3942,             0.87498,                 0.2,              4.3999,                   0,             0.00925,             0.53647,             0.45893,                   0,             0.09522,             0.34552,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   2
             0.35833,             0.28991,             0.24603,            0.097904,             0.06622,            0.012246,          0.00040676,             0.01225,                0.01,             0.91709,             0.00047,              2.5509,             0.71058,             0.09516,             0.03726,              1.0086,             0.76874,               1.301,             0.75958,                 0.2,              5.3678,                   0,             0.00878,             0.63534,             0.45893,                   0,             0.05595,             0.34552,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.4325
              0.6817,             0.13071,             0.11466,            0.038911,            0.046926,            0.017547,          0.00063768,             0.01162,                0.01,             0.82928,             0.00047,              2.3744,             0.45091,             0.10207,             0.02303,              1.0086,             0.69096,              1.6517,               1.022,                 0.2,              6.8304,                   0,             0.00834,                 0.9,             0.48757,                   0,             0.05634,             0.34552,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.7612
             0.47486,             0.22832,             0.22028,            0.084122,            0.066313,            0.011856,          0.00049349,             0.01214,             0.01007,             0.91242,             0.00046,              2.5375,             0.71058,             0.09591,             0.03682,              1.0294,             0.76874,              1.3188,             0.75958,                 0.2,              5.3435,                   0,             0.00868,             0.62788,             0.45893,                   0,             0.05586,             0.34552,                   0,                   0,                   0,                 0.5,             0.98045,                   0,                   0,              2.4325
              0.4386,             0.27124,             0.23411,            0.092439,             0.07079,              0.0113,          0.00057145,              0.0119,                0.01,             0.91709,             0.00047,              2.8306,              0.7166,             0.09074,             0.03974,             0.83142,             0.93118,              1.2397,             0.75958,                 0.2,              5.3678,                   0,             0.00952,             0.66732,             0.49523,                   0,             0.05668,             0.37209,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.1608
             0.28259,             0.28157,             0.20246,            0.074969,            0.076345,            0.012931,          0.00055982,             0.01239,                0.01,             0.94472,             0.00047,              2.5273,             0.72078,             0.08985,              0.0406,              0.9357,             0.71739,              1.2426,              0.8168,                 0.2,              6.4913,                   0,             0.00872,             0.69393,             0.46198,                   0,             0.05368,             0.33941,                   0,                   0,                   0,                 0.5,              0.9455,                   0,                   0,              2.9171
             0.69511,             0.13693,             0.12268,            0.044332,            0.074939,            0.010382,          0.00060028,             0.00895,                0.01,             0.86865,             0.00047,              2.1883,             0.72815,             0.08637,             0.03726,              1.0274,             0.76874,              1.2879,             0.69743,                 0.2,              5.0075,                   0,              0.0093,             0.66736,             0.45737,                   0,             0.05482,             0.36261,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.7893
             0.42336,             0.26845,              0.2269,            0.079498,            0.067439,             0.01269,          0.00033888,             0.01198,                0.01,             0.90932,             0.00047,              2.4006,             0.69679,             0.08822,             0.03718,               1.034,             0.76874,               1.301,             0.77207,                 0.2,              5.3642,                   0,             0.00866,             0.64182,             0.46329,                   0,             0.05509,             0.35738,                   0,                   0,                   0,                 0.5,             0.97393,                   0,                   0,              2.4788
             0.39881,             0.24148,             0.21951,            0.086933,            0.069797,            0.012149,          0.00083793,             0.01252,             0.01059,             0.92895,             0.00049,               2.706,             0.80353,             0.10264,             0.03905,              1.0087,              0.7991,              1.2326,             0.75958,                 0.2,              5.9462,                   0,             0.00801,             0.63534,             0.47156,                   0,             0.05595,              0.3459,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.4325
             0.54088,             0.27402,             0.27114,            0.086989,            0.069146,            0.014846,          0.00076325,             0.01257,                0.01,             0.97331,             0.00046,              2.5509,             0.71412,             0.08001,             0.03999,              1.0443,             0.76874,              1.4579,             0.74018,                 0.2,              5.3678,                   0,              0.0088,             0.67171,             0.45893,                   0,             0.05888,               0.348,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.4294
