               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   3,             0.13421,            0.013342,           0.0038203,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.057591,           0.0033952,           0.0033952
                   4,             0.12948,            0.013226,           0.0021149,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.047753,           0.0040163,           0.0040163
                   5,             0.12579,            0.013101,           0.0020061,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.037815,           0.0045367,           0.0045367
                   6,             0.12263,            0.013985,           0.0016384,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.027776,           0.0049563,           0.0049563
                   7,             0.11942,            0.012682,           0.0015099,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.017636,           0.0052752,           0.0052752
                   8,             0.11899,            0.013109,           0.0017601,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0073948,           0.0054932,           0.0054932
                   9,             0.11278,            0.012445,            0.001846,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0051473,           0.0051473,           0.0051473
                  10,             0.11205,            0.013299,           0.0010877,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0051473,           0.0051473,           0.0051473
                  11,             0.10936,            0.013675,           0.0010501,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0046892,           0.0046892,           0.0046892
                  12,             0.10862,             0.01238,          0.00083612,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0042311,           0.0042311,           0.0042311
                  13,             0.10528,            0.013061,          0.00069048,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.003773,            0.003773,            0.003773
                  14,             0.10448,            0.012217,          0.00072784,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033149,           0.0033149,           0.0033149
                  15,             0.10073,            0.012895,          0.00071595,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0028569,           0.0028569,           0.0028569
                  16,             0.10072,            0.012276,          0.00065067,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023988,           0.0023988,           0.0023988
                  17,            0.098217,            0.012558,          0.00057633,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0019407,           0.0019407,           0.0019407
                  18,            0.097049,            0.012393,          0.00058984,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014826,           0.0014826,           0.0014826
                  19,            0.095916,            0.013244,          0.00039889,             0.43879,             0.22762,             0.19573,            0.070791,            0.090265,           0.0083004,          0.00085278,           0.0010245,           0.0010245,           0.0010245
                   0,             0.16126,            0.023835,            0.029039,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.09326,            0.001046,            0.001046
                   1,             0.14789,            0.020425,            0.018383,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.083031,           0.0020879,           0.0020879
                   2,             0.14062,            0.018558,           0.0093212,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.072689,           0.0030158,           0.0030158
                   3,             0.13678,            0.017989,           0.0049698,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.062232,           0.0038299,           0.0038299
                   4,             0.13194,            0.017748,           0.0029323,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.051662,             0.00453,             0.00453
                   5,              0.1284,            0.017675,           0.0025742,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.040977,           0.0051162,           0.0051162
                   6,             0.12626,            0.017787,           0.0021581,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.030179,           0.0055886,           0.0055886
                   7,             0.12139,            0.016372,           0.0015009,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.019267,            0.005947,            0.005947
                   8,             0.12031,            0.016723,           0.0016648,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0082407,           0.0061915,           0.0061915
                   9,              0.1164,            0.015567,           0.0019574,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0058001,           0.0058001,           0.0058001
                  10,             0.11391,            0.017332,           0.0013895,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0058001,           0.0058001,           0.0058001
                  11,             0.11062,            0.017563,           0.0011894,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0052823,           0.0052823,           0.0052823
                  12,             0.10977,            0.015993,          0.00091303,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0047645,           0.0047645,           0.0047645
                  13,              0.1079,            0.017254,          0.00086095,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0042468,           0.0042468,           0.0042468
                  14,             0.10389,            0.015481,          0.00085059,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.003729,            0.003729,            0.003729
                  15,             0.10183,            0.016445,          0.00084836,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032112,           0.0032112,           0.0032112
                  16,             0.10358,            0.016821,          0.00076897,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0026935,           0.0026935,           0.0026935
                  17,             0.10004,            0.016648,          0.00082311,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0021757,           0.0021757,           0.0021757
                  18,            0.097293,             0.01663,          0.00062718,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0016579,           0.0016579,           0.0016579
                  19,            0.097951,            0.016774,          0.00051976,             0.51361,             0.26095,             0.23048,            0.083727,            0.092649,            0.010239,           0.0014234,           0.0011401,           0.0011401,           0.0011401
                   0,             0.16372,            0.024108,            0.028975,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.091422,            0.001053,            0.001053
                   1,             0.14976,            0.020378,            0.018399,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.081426,           0.0021019,           0.0021019
                   2,             0.14153,            0.018283,           0.0092768,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.071315,           0.0030361,           0.0030361
                   3,             0.13778,             0.01774,           0.0048698,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.061089,           0.0038556,           0.0038556
                   4,             0.13276,            0.017372,           0.0027856,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.050749,           0.0045606,           0.0045606
                   5,             0.13159,            0.016959,           0.0024613,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.040294,           0.0051508,           0.0051508
                   6,             0.12825,            0.017674,           0.0021046,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.029725,           0.0056265,           0.0056265
                   7,             0.12338,            0.016498,           0.0017441,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.019041,           0.0059875,           0.0059875
                   8,             0.12151,            0.017643,           0.0015989,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008242,           0.0062338,           0.0062338
                   9,              0.1178,            0.015485,           0.0016874,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0058399,           0.0058399,           0.0058399
                  10,             0.11536,            0.017014,            0.001169,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0058399,           0.0058399,           0.0058399
                  11,             0.11149,            0.017516,           0.0011009,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0053188,           0.0053188,           0.0053188
                  12,             0.11055,            0.016257,          0.00086874,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0047976,           0.0047976,           0.0047976
                  13,              0.1092,            0.017323,          0.00082243,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0042765,           0.0042765,           0.0042765
                  14,             0.10635,            0.015676,          0.00075635,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0037554,           0.0037554,           0.0037554
                  15,             0.10292,            0.016434,          0.00076721,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032343,           0.0032343,           0.0032343
                  16,             0.10341,            0.016063,          0.00066264,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027131,           0.0027131,           0.0027131
                  17,              0.1008,            0.016093,           0.0006897,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.002192,            0.002192,            0.002192
                  18,            0.099424,            0.016064,          0.00054236,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0016709,           0.0016709,           0.0016709
                  19,            0.099482,             0.01691,          0.00046844,             0.50333,              0.2304,             0.22968,            0.084341,            0.091959,            0.010227,          0.00092768,           0.0011498,           0.0011498,           0.0011498
                   0,             0.17838,            0.024414,            0.027003,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.091422,            0.001053,            0.001053
                   1,             0.16292,            0.020891,            0.018179,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.081426,           0.0021019,           0.0021019
                   2,             0.15458,            0.018569,           0.0092581,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.071315,           0.0030362,           0.0030362
                   3,              0.1503,            0.018219,           0.0049844,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.061089,           0.0038558,           0.0038558
                   4,             0.14158,            0.018457,           0.0032124,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.050749,           0.0045608,           0.0045608
                   5,             0.13877,            0.018228,           0.0030408,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.040295,           0.0051512,           0.0051512
                   6,             0.13658,            0.018441,           0.0024236,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.029725,            0.005627,            0.005627
                   7,             0.13015,            0.017116,           0.0021179,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.019041,           0.0059882,           0.0059882
                   8,             0.12915,            0.017879,            0.002007,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0082429,           0.0062347,           0.0062347
                   9,             0.12387,            0.016238,           0.0020342,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0058409,           0.0058409,           0.0058409
                  10,              0.1226,            0.017608,           0.0016205,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0058409,           0.0058409,           0.0058409
                  11,             0.11834,            0.017634,           0.0015615,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0053199,           0.0053199,           0.0053199
                  12,             0.11674,            0.015701,           0.0011186,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0047989,           0.0047989,           0.0047989
                  13,             0.11441,            0.017441,            0.001041,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0042779,           0.0042779,           0.0042779
                  14,             0.11042,             0.01584,          0.00094614,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0037569,           0.0037569,           0.0037569
                  15,             0.10757,            0.016226,           0.0010524,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032359,           0.0032359,           0.0032359
                  16,             0.10787,            0.015494,          0.00077924,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027149,           0.0027149,           0.0027149
                  17,             0.10506,            0.015491,          0.00076792,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0021939,           0.0021939,           0.0021939
                  18,              0.1032,            0.015139,          0.00067322,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0016729,           0.0016729,           0.0016729
                  19,             0.10194,            0.016384,          0.00056382,              0.5362,             0.25393,             0.24057,            0.087556,            0.096299,            0.010324,          0.00094384,           0.0011518,           0.0011518,           0.0011518
                   0,             0.20488,            0.027965,            0.026721,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.098388,            0.001053,            0.001053
