               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.064877,            0.017392,          0.00047404,             0.47514,             0.33839,             0.34138,             0.13591,            0.064742,            0.013373,           0.0024082,           0.0081266,           0.0081266,           0.0081266
                  36,            0.065742,            0.016388,          0.00035921,             0.46673,             0.39654,             0.36075,             0.12889,             0.06498,            0.013457,            0.001717,           0.0080054,           0.0080054,           0.0080054
                  37,            0.063586,            0.016027,          0.00036575,             0.52655,             0.39105,             0.37738,             0.13529,            0.064418,            0.013718,           0.0017217,           0.0078841,           0.0078841,           0.0078841
                  38,            0.065055,            0.016493,          0.00037584,             0.51893,              0.3931,              0.3516,             0.12191,            0.063825,            0.013733,          0.00077114,           0.0077628,           0.0077628,           0.0077628
                  39,            0.063142,            0.016195,          0.00038384,             0.55569,             0.35777,             0.37771,             0.13198,            0.064504,            0.014152,          0.00064616,           0.0076416,           0.0076416,           0.0076416
                  40,            0.062699,            0.016539,          0.00032198,             0.53215,             0.35155,             0.32241,             0.11387,            0.063733,            0.013908,          0.00089201,           0.0075203,           0.0075203,           0.0075203
                  41,            0.063141,            0.017746,          0.00037725,              0.5323,             0.36656,             0.33835,             0.12083,            0.064111,             0.01389,          0.00081136,            0.007399,            0.007399,            0.007399
                  42,            0.063989,            0.015771,          0.00039269,             0.63696,              0.3087,             0.35321,             0.12625,            0.064447,            0.014251,           0.0011641,           0.0072777,           0.0072777,           0.0072777
                  43,            0.060507,            0.016489,          0.00046238,             0.53486,             0.39861,             0.35929,              0.1377,            0.065043,            0.014182,          0.00082266,           0.0071565,           0.0071565,           0.0071565
                  44,            0.060537,            0.016154,          0.00039174,             0.63305,             0.36471,             0.38718,              0.1481,            0.065771,            0.014329,           0.0010877,           0.0070352,           0.0070352,           0.0070352
                  45,            0.061134,            0.014495,          0.00033054,             0.71775,             0.32409,             0.36397,             0.12637,            0.065446,            0.014659,          0.00082763,           0.0069139,           0.0069139,           0.0069139
                  46,            0.061149,            0.016296,          0.00039971,              0.6024,             0.31237,             0.33922,             0.12102,            0.066319,            0.014761,          0.00065029,           0.0067926,           0.0067926,           0.0067926
                  47,            0.062112,            0.015208,          0.00034981,             0.75828,             0.34604,             0.39683,             0.15521,            0.064173,            0.014938,            0.000822,           0.0066714,           0.0066714,           0.0066714
                  48,            0.061042,            0.016087,           0.0003113,             0.74659,             0.28582,              0.3658,             0.12957,            0.064026,             0.01445,          0.00072963,           0.0065501,           0.0065501,           0.0065501
                  49,            0.059231,            0.017107,          0.00031793,             0.54435,             0.32337,             0.35836,              0.1415,            0.062551,            0.014561,           0.0011468,           0.0064288,           0.0064288,           0.0064288
                  50,            0.058311,            0.015597,          0.00028193,             0.49039,             0.37709,              0.3662,             0.15485,            0.062811,            0.014556,           0.0012583,           0.0063075,           0.0063075,           0.0063075
                  51,            0.060947,            0.015611,          0.00030873,             0.56722,             0.34689,             0.37941,              0.1456,            0.063023,            0.015106,            0.001661,           0.0061862,           0.0061862,           0.0061862
                  52,            0.059125,              0.0155,          0.00029433,             0.71666,             0.31369,             0.39083,             0.15627,            0.063191,            0.015154,           0.0018452,            0.006065,            0.006065,            0.006065
